Skip,Ace Well ID,Ace Well Number,Ace Lease Name,Seneca Well Name, API Number, Seneca Well ID
0,0,,,28A 108,04019022710000,7502
0,0,,,28A 109,04019022720000,7503
0,0,,,28A 11,04019021790000,7431
0,0,,,28A 110,04019022730000,7504
0,0,,,28A 111,04019022740000,7505
0,0,,,28A 114,04019022750000,7506
0,0,,,28A 115,04019022760000,7507
0,0,,,28A 116,04019022770000,7508
0,0,,,28A 117,04019022780000,7353
0,0,,,28A 124,04019022790000,7354
0,0,,,28A 125,04019022800000,7355
0,0,,,28A 13,04019021810000,7432
0,0,,,28A 134,04019022810000,7356
0,0,,,28A 135 P&A,04019022820000,7357
0,0,,,28A 136,04019022830000,7358
0,0,,,28A 14,04019021820000,7433
0,0,,,28A 142,04019022840000,7359
0,0,,,28A 145,04019022850000,7360
0,0,,,28A 146,04019022860000,7361
0,0,,,28A 147,04019022870000,7362
0,0,,,28A 148,04019022880000,7363
0,0,,,28A 15,04019021830000,7434
0,0,,,28A 152 P&A,04019022890000,7364
0,0,,,28A 153,04019022900000,7365
0,0,,,28A 156,04019022910000,7366
0,0,,,28A 157,04019022920000,7367
0,0,,,28A 158,04019022930000,7368
0,0,,,28A 16,04019021840000,7435
0,0,,,28A 161,04019022940000,7369
0,0,,,28A 169,04019022950000,7370
0,0,,,28A 17 P&A,04019021850000,7436
0,0,,,28A 170,04019022960000,7371
0,0,,,28A 171,04019022970000,7372
0,0,,,28A 172,04019022980000,7373
0,0,,,28A 175,04019022990000,7374
0,0,,,28A 176 P&A,04019023000000,7375
0,0,,,28A 177,04019023010000,7376
0,0,,,28A 178,04019023020000,7377
0,0,,,28A 179,04019023030000,7378
0,0,,,28A 18,04019021860000,7437
0,0,,,28A 180,04019023040000,7379
0,0,,,28A 181,04019023050000,7380
0,0,,,28A 182,04019023060000,7381
0,0,,,28A 183,04019023070000,7382
0,0,,,28A 184,04019023080000,7383
0,0,,,28A 185,04019023090000,7384
0,0,,,28A 186,04019023100000,7385
0,0,,,28A 187,04019023110000,7386
0,0,,,28A 188,04019023120000,7387
0,0,,,28A 189,04019023130000,7388
0,0,,,28A 19,04019021870000,7438
0,0,,,28A 190,04019023140000,7389
0,0,,,28A 191,04019023150000,7390
0,0,,,28A 192,04019023160000,7391
0,0,,,28A 193,04019023170000,7392
0,0,,,28A 194,04019023180000,7393
0,0,,,28A 195,04019023190000,7394
0,0,,,28A 196,04019023200000,7395
0,0,,,28A 197,04019023210000,7396
0,0,,,28A 198,04019023220000,7397
0,0,,,28A 199,04019023230000,7398
0,0,,,28A 1CH,04019208410000,8610
0,0,,,28A 2-10,04019021280000,7619
0,0,,,28A 2-12,04019000580000,7041
0,0,,,28A 2-4,04019021240000,7615
0,0,,,28A 2-5,04019205010000,7810
0,0,,,28A 2-6,04019204240000,7804
0,0,,,28A 2-6A,04019220700000,7688
0,0,,,28A 2-7,04019021250000,7616
0,0,,,28A 2-8,04019021260000,7617
0,0,,,28A 2-9,04019021270000,7618
0,0,,,28A 20,04019021880000,7439
0,0,,,28A 201,04019254340000,8173
0,0,,,28A 202,04019254350000,8174
0,0,,,28A 207,04019205170000,7811
0,0,,,28A 21,04019021890000,7440
0,0,,,28A 2106,04019023360000,7410
0,0,,,28A 2107,04019023370000,7411
0,0,,,28A 2109 P&A,04019023380000,7412
0,0,,,28A 2117,04019023390000,7413
0,0,,,28A 2135,04019023400000,7414
0,0,,,28A 2157,04019023410000,7415
0,0,,,28A 2192,04019205870000,7667
0,0,,,28A 22,04019021900000,7441
0,0,,,28A 222,04019023240000,7399
0,0,,,28A 225,04019023250000,7400
0,0,,,28A 228,04019023260000,7401
0,0,,,28A 239,04019205850000,7665
0,0,,,28A 24,04019021920000,7442
0,0,,,28A 249,04019201300000,7800
0,0,,,28A 251,04019023270000,7402
0,0,,,28A 258,04019023280000,7403
0,0,,,28A 265,04019205860000,7666
0,0,,,28A 268,04019023300000,7405
0,0,,,28A 27,04019021950000,7443
0,0,,,28A 274,04019023310000,7406
0,0,,,28A 277 P&A,04019201310000,7801
0,0,,,28A 283 P&A,04019023320000,7407
0,0,,,28A 292,04019023330000,7408
0,0,,,28A 295,04019023340000,7409
0,0,,,28A 3-5,04019021320000,7621
0,0,,,28A 3-6R P&A,04019204250000,7805
0,0,,,28A 3-7,04019021330000,7622
0,0,,,28A 3-7A,04019021340000,7623
0,0,,,28A 3-7B,04019206670000,7671
0,0,,,28A 3-8,04019220710000,7689
0,0,,,28A 3-9,04019021350000,7624
0,0,,,28A 3-9A,04019021360000,7625
0,0,,,28A 30,04019021980000,7444
0,0,,,28A 31,04019021990000,7445
0,0,,,28A 32,04019022000000,7446
0,0,,,28A 33,04019022010000,7447
0,0,,,28A 34,04019022020000,7448
0,0,,,28A 35,04019022030000,7449
0,0,,,28A 37,04019022050000,7450
0,0,,,28A 38,04019022060000,7451
0,0,,,28A 39,04019022070000,7452
0,0,,,28A 4-10,04019021420000,7630
0,0,,,28A 4-12,04019021430000,7631
0,0,,,28A 4-5,04019021380000,7626
0,0,,,28A 4-6,04019021390000,7627
0,0,,,28A 4-7,04019021400000,7628
0,0,,,28A 4-7A,04019233990000,7722
0,0,,,28A 4-7I P&A,04019234180000,7731
0,0,,,28A 4-8,04019021410000,7629
0,0,,,28A 4-8R,04019258570000,8676
0,0,,,28A 40 P&A,04019022080000,7453
0,0,,,28A 41,04019022090000,7454
0,0,,,28A 417,04019244460000,7733
0,0,,,28A 42,04019022100000,7455
0,0,,,28A 421,04019244470000,7734
0,0,,,28A 43,04019022110000,7456
0,0,,,28A 44,04019022120000,7457
0,0,,,28A 45,04019022130000,7458
0,0,,,28A 46,04019022140000,7459
0,0,,,28A 47,04019022150000,7460
0,0,,,28A 48,04019022160000,7461
0,0,,,28A 49,04019022170000,7462
0,0,,,28A 5,04019021440000,7632
0,0,,,28A 5-3,04019021450000,7633
0,0,,,28A 5-6,04019021460000,7634
0,0,,,28A 5-6I,04019233880000,7721
0,0,,,28A 5-6IX,04019234050000,7726
0,0,,,28A 5-7,04019201150000,7795
